Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,e7_0r05c05052052,Ethernet22,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet23,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,San1,True
l2leaf,e7_0r05c05052052,Ethernet24,server,UNIX_R5C7U14-15_CAMSYSPIVOT8,App1,True
l2leaf,e7_0r05c05052052,Ethernet25,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet26,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,San1,True
l2leaf,e7_0r05c05052052,Ethernet27,server,UNIX_R5C7U16-17_CAMSYSPIVOT9,App1,True
l2leaf,e7_0r05c05052052,Ethernet28,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,MGMT1,True
l2leaf,e7_0r05c05052052,Ethernet29,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,San1,True
l2leaf,e7_0r05c05052052,Ethernet30,server,UNIX_R5C7U18-19_CAMSYSPIVOT10,App1,True
l2leaf,e7_0r05c05052052,Ethernet44/1,mlag_peer,e7_0r05c05052051,Ethernet44/1,True
l2leaf,e7_0r05c05052052,Ethernet46/1,network_port,,,True
spine,Spine1,Ethernet1/1,l3leaf,WCC1,Ethernet53/1,True
spine,Spine1,Ethernet2/1,l3leaf,WCC2,Ethernet53/1,True
spine,Spine2,Ethernet1/1,l3leaf,WCC1,Ethernet54/1,True
spine,Spine2,Ethernet2/1,l3leaf,WCC2,Ethernet54/1,True
l3leaf,WCC1,Ethernet5,server,Atmospheric Science,A22,True
l3leaf,WCC1,Ethernet49/1,mlag_peer,WCC2,Ethernet49/1,True
l3leaf,WCC1,Ethernet50/1,mlag_peer,WCC2,Ethernet50/1,True
l3leaf,WCC1,Ethernet53/1,spine,Spine1,Ethernet1/1,True
l3leaf,WCC1,Ethernet54/1,spine,Spine2,Ethernet1/1,True
l3leaf,WCC2,Ethernet5,server,Atmospheric Science,B22,True
l3leaf,WCC2,Ethernet49/1,mlag_peer,WCC1,Ethernet49/1,True
l3leaf,WCC2,Ethernet50/1,mlag_peer,WCC1,Ethernet50/1,True
l3leaf,WCC2,Ethernet53/1,spine,Spine1,Ethernet2/1,True
l3leaf,WCC2,Ethernet54/1,spine,Spine2,Ethernet2/1,True
